DATE,INDPRO
1985-01-01,56.1398
1985-02-01,56.3323
1985-03-01,56.4232
1985-04-01,56.2693
1985-05-01,56.3488
1985-06-01,56.3901
1985-07-01,56.0234
1985-08-01,56.2555
1985-09-01,56.4983
1985-10-01,56.2648
1985-11-01,56.4549
1985-12-01,57.0458
1986-01-01,57.3104
1986-02-01,56.9344
1986-03-01,56.5420
1986-04-01,56.5599
1986-05-01,56.6823
1986-06-01,56.4976
1986-07-01,56.8140
1986-08-01,56.7381
1986-09-01,56.8532
1986-10-01,57.1191
1986-11-01,57.3792
1986-12-01,57.8623
1987-01-01,57.6850
1987-02-01,58.4399
1987-03-01,58.5160
1987-04-01,58.8851
1987-05-01,59.2653
1987-06-01,59.5409
1987-07-01,59.9536
1987-08-01,60.4517
1987-09-01,60.6069
1987-10-01,61.4910
1987-11-01,61.8137
1987-12-01,62.1190
1988-01-01,62.1469
1988-02-01,62.4169
1988-03-01,62.5418
1988-04-01,62.8959
1988-05-01,62.8223
1988-06-01,62.9823
1988-07-01,63.0093
1988-08-01,63.2723
1988-09-01,63.0990
1988-10-01,63.4122
1988-11-01,63.5128
1988-12-01,63.8233
1989-01-01,64.0153
1989-02-01,63.7242
1989-03-01,63.8691
1989-04-01,63.9124
1989-05-01,63.4884
1989-06-01,63.5187
1989-07-01,62.9354
1989-08-01,63.5168
1989-09-01,63.2954
1989-10-01,63.2542
1989-11-01,63.4616
1989-12-01,63.8467
1990-01-01,63.4228
1990-02-01,64.0446
1990-03-01,64.3580
1990-04-01,64.2602
1990-05-01,64.3973
1990-06-01,64.6041
1990-07-01,64.5205
1990-08-01,64.7326
1990-09-01,64.8145
1990-10-01,64.3274
1990-11-01,63.5753
1990-12-01,63.1594
1991-01-01,62.8852
1991-02-01,62.4462
1991-03-01,62.1190
1991-04-01,62.2415
1991-05-01,62.8646
1991-06-01,63.4372
1991-07-01,63.5128
1991-08-01,63.5671
1991-09-01,64.1330
1991-10-01,64.0213
1991-11-01,63.9480
1991-12-01,63.6937
1992-01-01,63.3374
1992-02-01,63.7911
1992-03-01,64.3212
1992-04-01,64.8088
1992-05-01,65.0202
1992-06-01,65.0295
1992-07-01,65.6172
1992-08-01,65.2943
1992-09-01,65.4460
1992-10-01,65.9369
1992-11-01,66.2174
1992-12-01,66.2772
1993-01-01,66.5643
1993-02-01,66.8594
1993-03-01,66.7658
1993-04-01,67.0000
1993-05-01,66.7674
1993-06-01,66.8781
1993-07-01,67.0845
1993-08-01,67.0140
1993-09-01,67.3345
1993-10-01,67.8515
1993-11-01,68.1326
1993-12-01,68.5054
1994-01-01,68.7648
1994-02-01,68.7836
1994-03-01,69.4766
1994-04-01,69.8703
1994-05-01,70.2281
1994-06-01,70.6763
1994-07-01,70.7846
1994-08-01,71.2053
1994-09-01,71.4767
1994-10-01,72.0820
1994-11-01,72.5263
1994-12-01,73.2879
1995-01-01,73.4219
1995-02-01,73.3025
1995-03-01,73.4081
1995-04-01,73.3612
1995-05-01,73.6104
1995-06-01,73.8602
1995-07-01,73.5664
1995-08-01,74.4950
1995-09-01,74.7937
1995-10-01,74.7017
1995-11-01,74.8897
1995-12-01,75.1755
1996-01-01,74.6841
1996-02-01,75.8344
1996-03-01,75.7631
1996-04-01,76.4562
1996-05-01,77.0161
1996-06-01,77.6669
1996-07-01,77.5662
1996-08-01,78.0160
1996-09-01,78.5532
1996-10-01,78.5065
1996-11-01,79.1996
1996-12-01,79.7143
1997-01-01,79.8273
1997-02-01,80.7930
1997-03-01,81.3340
1997-04-01,81.3531
1997-05-01,81.8293
1997-06-01,82.2285
1997-07-01,82.8557
1997-08-01,83.7214
1997-09-01,84.4651
1997-10-01,85.1918
1997-11-01,85.9397
1997-12-01,86.2047
1998-01-01,86.6474
1998-02-01,86.7612
1998-03-01,86.8198
1998-04-01,87.1411
1998-05-01,87.6952
1998-06-01,87.1450
1998-07-01,86.8423
1998-08-01,88.6247
1998-09-01,88.4515
1998-10-01,89.1677
1998-11-01,89.1098
1998-12-01,89.4407
1999-01-01,89.8594
1999-02-01,90.3386
1999-03-01,90.4819
1999-04-01,90.7274
1999-05-01,91.3520
1999-06-01,91.1994
1999-07-01,91.7766
1999-08-01,92.1629
1999-09-01,91.7740
1999-10-01,92.9979
1999-11-01,93.4371
1999-12-01,94.1593
2000-01-01,94.1758
2000-02-01,94.4557
2000-03-01,94.7980
2000-04-01,95.4808
2000-05-01,95.6435
2000-06-01,95.7353
2000-07-01,95.5906
2000-08-01,95.3112
2000-09-01,95.6790
2000-10-01,95.3970
2000-11-01,95.4229
2000-12-01,95.1573
2001-01-01,94.5448
2001-02-01,93.9398
2001-03-01,93.7201
2001-04-01,93.4469
2001-05-01,92.8760
2001-06-01,92.3208
2001-07-01,91.7933
2001-08-01,91.6795
2001-09-01,91.3289
2001-10-01,90.9315
2001-11-01,90.4860
2001-12-01,90.5073
2002-01-01,91.0794
2002-02-01,91.0553
2002-03-01,91.7980
2002-04-01,92.1771
2002-05-01,92.5668
2002-06-01,93.4476
2002-07-01,93.2237
2002-08-01,93.2359
2002-09-01,93.3654
2002-10-01,93.0834
2002-11-01,93.5693
2002-12-01,93.1103
2003-01-01,93.8198
2003-02-01,93.9532
2003-03-01,93.7358
2003-04-01,93.0657
2003-05-01,93.0918
2003-06-01,93.2476
2003-07-01,93.6582
2003-08-01,93.5246
2003-09-01,94.0751
2003-10-01,94.2079
2003-11-01,94.9338
2003-12-01,94.8662
2004-01-01,95.1085
2004-02-01,95.6847
2004-03-01,95.2088
2004-04-01,95.6385
2004-05-01,96.3966
2004-06-01,95.6019
2004-07-01,96.3385
2004-08-01,96.4095
2004-09-01,96.4907
2004-10-01,97.4094
2004-11-01,97.6137
2004-12-01,98.3318
2005-01-01,98.7845
2005-02-01,99.4639
2005-03-01,99.3061
2005-04-01,99.4734
2005-05-01,99.6033
2005-06-01,99.9853
2005-07-01,99.6692
2005-08-01,99.9435
2005-09-01,98.0779
2005-10-01,99.3149
2005-11-01,100.3216
2005-12-01,100.9437
2006-01-01,101.0627
2006-02-01,101.0669
2006-03-01,101.2751
2006-04-01,101.6813
2006-05-01,101.5790
2006-06-01,101.9693
2006-07-01,101.9319
2006-08-01,102.3327
2006-09-01,102.1252
2006-10-01,102.0668
2006-11-01,101.9688
2006-12-01,103.0292
