DATE,MVGFD027MNFRBDAL
1985-01-01,1688.2
1985-02-01,1676.7
1985-03-01,1697.8
1985-04-01,1732.9
1985-05-01,1796.8
1985-06-01,1821.1
1985-07-01,1831.4
1985-08-01,1858.3
1985-09-01,1860.5
1985-10-01,1879.8
1985-11-01,1965.5
1985-12-01,2039.3
1986-01-01,2050.3
1986-02-01,2114.5
1986-03-01,2168.4
1986-04-01,2183.7
1986-05-01,2162.8
1986-06-01,2225.0
1986-07-01,2237.3
1986-08-01,2292.2
1986-09-01,2277.6
1986-10-01,2307.3
1986-11-01,2355.3
1986-12-01,2378.1
1987-01-01,2392.8
1987-02-01,2413.3
1987-03-01,2394.8
1987-04-01,2363.5
1987-05-01,2364.9
1987-06-01,2393.6
1987-07-01,2372.5
1987-08-01,2387.5
1987-09-01,2350.5
1987-10-01,2436.3
1987-11-01,2456.6
1987-12-01,2484.0
1988-01-01,2546.5
1988-02-01,2576.3
1988-03-01,2558.6
1988-04-01,2550.3
1988-05-01,2543.0
1988-06-01,2595.4
1988-07-01,2575.6
1988-08-01,2586.1
1988-09-01,2637.0
1988-10-01,2678.8
1988-11-01,2676.3
1988-12-01,2694.4
1989-01-01,2717.5
1989-02-01,2717.3
1989-03-01,2730.3
1989-04-01,2768.9
1989-05-01,2823.8
1989-06-01,2901.8
1989-07-01,2932.6
1989-08-01,2919.6
1989-09-01,2929.8
1989-10-01,3011.6
1989-11-01,3040.0
1989-12-01,3071.3
1990-01-01,3035.6
1990-02-01,3043.9
1990-03-01,3087.4
1990-04-01,3062.8
1990-05-01,3138.3
1990-06-01,3205.6
1990-07-01,3240.7
1990-08-01,3235.7
1990-09-01,3264.5
1990-10-01,3325.9
1990-11-01,3414.6
1990-12-01,3469.8
1991-01-01,3524.6
1991-02-01,3568.6
1991-03-01,3571.1
1991-04-01,3560.4
1991-05-01,3603.3
1991-06-01,3623.5
1991-07-01,3674.9
1991-08-01,3750.4
1991-09-01,3807.2
1991-10-01,3894.7
1991-11-01,3935.9
1991-12-01,4066.6
1992-01-01,4009.3
1992-02-01,4021.4
1992-03-01,4038.0
1992-04-01,4049.1
1992-05-01,4126.6
1992-06-01,4194.9
1992-07-01,4226.8
1992-08-01,4316.0
1992-09-01,4341.8
1992-10-01,4299.2
1992-11-01,4372.2
1992-12-01,4412.8
1993-01-01,4446.0
1993-02-01,4519.6
1993-03-01,4541.6
1993-04-01,4570.5
1993-05-01,4590.6
1993-06-01,4701.2
1993-07-01,4692.3
1993-08-01,4793.9
1993-09-01,4798.7
1993-10-01,4804.1
1993-11-01,4816.6
1993-12-01,4853.9
1994-01-01,4875.9
1994-02-01,4812.1
1994-03-01,4737.9
1994-04-01,4686.7
1994-05-01,4702.8
1994-06-01,4713.8
1994-07-01,4741.3
1994-08-01,4780.2
1994-09-01,4716.5
1994-10-01,4736.8
1994-11-01,4753.3
1994-12-01,4774.0
1995-01-01,4830.4
1995-02-01,4919.3
1995-03-01,4932.0
1995-04-01,4945.8
1995-05-01,5113.5
1995-06-01,5167.5
1995-07-01,5143.5
1995-08-01,5175.0
1995-09-01,5192.5
1995-10-01,5234.9
1995-11-01,5270.8
1995-12-01,5305.8
1996-01-01,5307.9
1996-02-01,5241.1
1996-03-01,5296.2
1996-04-01,5239.9
1996-05-01,5239.3
1996-06-01,5294.8
1996-07-01,5311.5
1996-08-01,5303.1
1996-09-01,5357.4
1996-10-01,5436.7
1996-11-01,5529.3
1996-12-01,5496.2
1997-01-01,5471.7
1997-02-01,5491.6
1997-03-01,5464.2
1997-04-01,5458.3
1997-05-01,5468.6
1997-06-01,5520.4
1997-07-01,5604.5
1997-08-01,5576.0
1997-09-01,5623.9
1997-10-01,5678.3
1997-11-01,5713.0
1997-12-01,5777.0
1998-01-01,5808.6
1998-02-01,5805.5
1998-03-01,5817.4
1998-04-01,5771.7
1998-05-01,5801.3
1998-06-01,5866.6
1998-07-01,5833.1
1998-08-01,5967.1
1998-09-01,6017.5
1998-10-01,6020.2
1998-11-01,6028.0
1998-12-01,6035.8
1999-01-01,6042.3
1999-02-01,5925.4
1999-03-01,5947.5
1999-04-01,5876.5
1999-05-01,5837.9
1999-06-01,5848.4
1999-07-01,5820.7
1999-08-01,5832.3
1999-09-01,5828.5
1999-10-01,5830.4
1999-11-01,5814.4
1999-12-01,5852.5
2000-01-01,5777.2
2000-02-01,5835.2
2000-03-01,5926.6
2000-04-01,5813.7
2000-05-01,5760.0
2000-06-01,5839.8
2000-07-01,5832.1
2000-08-01,5883.8
2000-09-01,5869.1
2000-10-01,5867.6
2000-11-01,5969.5
2000-12-01,5984.4
2001-01-01,6065.5
2001-02-01,6112.7
2001-03-01,6145.7
2001-04-01,5969.7
2001-05-01,5964.8
2001-06-01,6030.7
2001-07-01,6089.1
2001-08-01,6159.6
2001-09-01,6251.2
2001-10-01,6349.5
2001-11-01,6290.3
2001-12-01,6292.8
2002-01-01,6289.0
2002-02-01,6370.5
2002-03-01,6267.2
2002-04-01,6318.4
2002-05-01,6350.8
2002-06-01,6504.6
2002-07-01,6601.3
2002-08-01,6725.1
2002-09-01,6834.9
2002-10-01,6819.7
2002-11-01,6818.4
2002-12-01,6975.8
2003-01-01,6941.9
2003-02-01,7040.2
2003-03-01,7011.9
2003-04-01,7009.3
